Price,Close,High,Low,Open,Volume
Ticker,AVGO,AVGO,AVGO,AVGO,AVGO
Date,,,,,
2026-07-27,383.2200012207031,389.8999938964844,373.5,389.82000732421875,18502100
2026-07-28,380.9100036621094,385.79998779296875,371.5199890136719,374.3599853515625,20328400
2026-07-29,370.32000732421875,386.1199951171875,369.510009765625,380.6400146484375,21374400
2026-07-30,387.8399963378906,388.67999267578125,377.5400085449219,380.3500061035156,23639800
2026-07-31,389.2799987792969,399.9200134277344,379.7099914550781,394.8299865722656,20391000
2026-08-03,392.2300109863281,392.6099853515625,374.6099853515625,384.4100036621094,17315100
2026-08-04,418.1600036621094,422.07000732421875,400.67999267578125,402.9700012207031,29564200
2026-08-05,418.2799987792969,427.0,416.8900146484375,421.70001220703125,16880400
2026-08-06,420.57000732421875,428.0299987792969,410.760009765625,420.54998779296875,13907500
2026-08-07,427.760009765625,430.8399963378906,421.6099853515625,428.3999938964844,14698300
2026-08-10,422.3999938964844,432.7300109863281,420.1600036621094,426.989990234375,13854100
2026-08-11,416.0799865722656,426.760009765625,413.2300109863281,426.07000732421875,12882700
2026-08-12,416.04998779296875,426.5,414.6099853515625,426.260009765625,15859200
2026-08-13,417.82000732421875,424.9200134277344,411.4100036621094,415.80999755859375,13180500
2026-08-14,392.989990234375,412.5,388.5,411.9599914550781,29513600
2026-08-17,392.42999267578125,399.3599853515625,391.30999755859375,397.260009765625,20042600
2026-08-18,380.0,385.7799987792969,377.010009765625,384.32000732421875,22878200
2026-08-19,362.4800109863281,373.9100036621094,357.6099853515625,372.3999938964844,35091400
2026-08-20,364.0299987792969,367.1199951171875,362.25,364.3900146484375,19729800
2026-08-21,368.45001220703125,375.1300048828125,365.04998779296875,370.69000244140625,19037100
2026-08-24,358.760009765625,366.1700134277344,358.7099914550781,364.9700012207031,18717200
2026-08-25,356.739990234375,362.989990234375,355.30999755859375,361.1000061035156,18014900
2026-08-26,355.5899963378906,359.4700012207031,350.05999755859375,357.1199951171875,18988800
2026-08-27,367.5,370.4599914550781,360.75,361.7650146484375,11680304
