Price,Close,High,Low,Open,Volume
Ticker,AXON,AXON,AXON,AXON,AXON
Date,,,,,
2026-07-27,525.47998046875,533.02001953125,514.239990234375,517.0,787800
2026-07-28,547.6500244140625,551.0700073242188,520.4400024414062,534.25,953000
2026-07-29,531.2000122070312,564.239990234375,526.1599731445312,544.510009765625,900300
2026-07-30,525.2999877929688,526.030029296875,502.7200012207031,517.02001953125,618600
2026-07-31,527.760009765625,530.969970703125,514.760009765625,519.0599975585938,491200
2026-08-03,575.8800048828125,577.4400024414062,546.3699951171875,547.780029296875,1105700
2026-08-04,607.2000122070312,608.1900024414062,580.260009765625,583.6099853515625,930200
2026-08-05,609.489990234375,617.25,595.0999755859375,617.25,1116800
2026-08-06,522.4600219726562,628.219970703125,516.1500244140625,589.1500244140625,2207900
2026-08-07,571.010009765625,572.6799926757812,525.010009765625,526.3200073242188,1591900
2026-08-10,596.3300170898438,598.719970703125,566.9500122070312,568.25,1244800
2026-08-11,636.3099975585938,642.5,572.7000122070312,595.0,1493000
2026-08-12,599.780029296875,642.6799926757812,594.2000122070312,628.9500122070312,1079700
2026-08-13,615.5900268554688,619.1599731445312,590.0999755859375,597.1400146484375,836300
2026-08-14,612.8300170898438,622.5499877929688,601.510009765625,615.489990234375,451800
2026-08-17,604.3200073242188,620.719970703125,601.239990234375,607.8099975585938,572700
2026-08-18,619.8499755859375,626.0700073242188,594.010009765625,595.6300048828125,690700
2026-08-19,645.719970703125,651.6099853515625,617.6400146484375,620.7100219726562,779800
2026-08-20,614.260009765625,644.0,613.27001953125,643.0,839000
2026-08-21,627.75,636.3599853515625,603.760009765625,623.8599853515625,603600
2026-08-24,597.5900268554688,634.9400024414062,595.1099853515625,622.1400146484375,658500
2026-08-25,613.260009765625,620.7899780273438,590.75,603.0499877929688,549700
2026-08-26,607.47998046875,614.0,597.0900268554688,609.0,416300
2026-08-27,611.5800170898438,615.9199829101562,599.6699829101562,613.0,313035
